EMP_NO,FIRST_NAME,MIDDLE_INITIAL,LAST_NAME,SSN,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,PHONE_NO,EMAIL,JOBTITLE,HIREDATE,DOB,FEDFILINGSTATUS,WORKSTATE,BANK_RTN,BANK_ACC,BANK_NAME,BANK_TYPE,EMP_STATUS,PAYCODE,PAYRATE
nan,Ikeisha,,Johnson,123456812,18164 hwy 65 ne 14 55011,14,Sugar Land,TX,77507,8328561178,employee24@gmail.com,Team Member,08/18/2021,05/29/2004,Single or Married filing separately,TX,124085244,1321541313,Prinko Bank,Checking,Active,Hourly,15
nan,Kimberly,,Flores Perez,123456813,6338 N Talman Ave,1,Woodlands,TX,77408,8328561179,employee25@gmail.com,HR Officer,08/18/2021,06/28/2003,Single or Married filing separately,TX,124085244,1215445,Rolling Bank,Checking,Active,Hourly,30
nan,Miracle,,Thomas,,8930 south Elizabeth,House,Woodlands,TX,77654,8328561180,employee26@gmail.com,Financial Analyst,08/18/2021,11/24/2002,Head of Household,TX,091000019,21546931354,Mega Bank,Checking,Active,Hourly,40
nan,Nallely,,Ramirez,123456815,9233 S Tripp,,Houston,TX,77215,8328561181,employee27@gmail.com,IT Manager,08/18/2021,05/31/1997,Single or Married filing separately,TX,103100195,1564642132,Prinko Bank,Checking,Active,Hourly,50
nan,Jermaine,T,Haynie,123456816,4406 Vernon Ave,,Houston,TX,77555,8328561182,employee28@gmail.com,Business Analyst,08/18/2021,07/11/1985,Single or Married filing separately,TX,073905912,2136564123,Rolling Bank,Checking,Active,Hourly,45
nan,Michaela,,Rafferty,123456817,301 North Riverfront Drive 203,,Richmond,TX,77412,8328561183,employee29@gmail.com,Team Member,08/18/2021,08/08/1992,Single or Married filing separately,TX,124085244,16848643139846,Mega Bank,Checking,Active,Hourly,17
nan,Troydell,C,Hampton,123456818,187 East 24th Street,,Houston,TX,77658,8328561184,employee30@gmail.com,Team Member,08/18/2021,11/05/1988,Head of Household,TX,041215663,164864318771,Prinko Bank,Checking,Active,Hourly,15
nan,Teresa,T,Jones,123456819,414 w Lincoln hwy,,Houston,TX,77258,8328561185,employee31@gmail.com,Law Manager,08/18/2021,06/24/1984,Head of Household,TX,124085244,516461313,Rolling Bank,Checking,Active,Hourly,65
nan,Timothy,,King,123456820,2110 S 5th Ave,207,Houston,TX,77685,8328561186,employee32@gmail.com,Team Member,08/18/2021,03/03/1988,Single or Married filing separately,TX,124085244,569746414,Great Bank,Checking,Active,Hourly,15
nan,Douglas,,Allison,123456821,11919 Cryer ave,102,Houston,TX,77361,8328561187,employee33@gmail.com,Team Member,08/18/2021,10/17/1988,Single or Married filing separately,TX,091408734,16874136,Prinko Bank,Checking,Active,Hourly,17
